Country,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Australia,24590336.0,1.834,521.526,1493.625,372.844,35.927,108.02,0.0,599.256,11.369,108.02,23.732,35.158,5328.311000000001,0.00021668313112923715
Bangladesh,161793968.0,0.0,25.117,399.297,265.927,2.74,3.541,0.0,108.254,0.012,3.541,0.776,0.014,2826.219,1.746801215728883e-05
Brazil,208504960.0,206.01,195.275,1945.812,376.32,987.09,1517.182,40.194,1374.216,168.906,1476.988,2.214,112.768,10419.975,4.9974710433747e-05
Canada,36554344.0,23.655,221.605,2578.561,1096.391,1050.112,1459.618,256.895,1260.565,35.578,1202.723,9.511,83.867,11296.081,0.00030902157620445875
China,1410275968.0,25.936,21915.443,31511.137,2412.522,3100.576,5138.246,633.589,7183.172,254.016,4504.657,313.5,810.629,79820.42300000002,5.6599151379710685e-05
Egypt,101789384.0,0.0,13.952,1029.495,559.328,34.033,41.25,0.0,456.216,0.0,41.25,1.604,5.614,4199.742,4.1259135628524876e-05
France,64144092.0,33.204,109.046,1458.23,447.657,130.309,1296.689,1017.315,901.527,26.319,279.374,24.225,65.318,7806.213000000002,0.00012169808249838506
Germany,82624368.0,31.384,835.93,3060.821,877.385,53.625,827.313,194.914,1347.506,162.955,632.398,103.154,281.28,10425.665,0.00012618147953640023
India,1354195712.0,5.467,4737.157,7861.351,535.999,361.465,739.391,95.548,2588.196,79.512,643.843,57.336,140.062,19862.327,1.4667249958032654e-05
Indonesia,264498848.0,23.517,566.109,1860.053,445.182,49.586,107.655,0.0,848.762,34.474,107.655,0.077,0.0,6060.07,2.29115175579139e-05
Iran,84505080.0,0.0,11.982,2930.551,2050.04,45.859,64.78,17.768,868.529,0.078,47.012,0.228,0.846,8054.673,9.53158437338915e-05
Italy,60004024.0,15.61,111.904,1541.387,715.788,96.335,301.734,0.0,713.695,77.696,301.734,64.876,47.216,6004.975000000001,0.00010007620488919211
Japan,126662464.0,4.771,1415.963,4829.954,1169.865,210.89,524.723,74.247,2244.126,74.44,450.476,143.818,16.557,13176.83,0.0001040310569041196
Malaysia,31975812.0,4.405,241.405,1109.307,450.442,71.445,79.17,0.0,417.461,2.442,79.17,0.878,0.0,4473.125,0.00013989089628122658
Mexico,122839256.0,2.187,176.753,2127.736,860.335,82.175,165.528,27.792,1090.648,21.955,137.736,3.158,28.262,6741.265,5.487875146362007e-05
Netherlands,17207204.0,3.848,106.972,990.816,362.972,0.162,61.39,8.689,520.871,14.699,52.701,5.866,28.127,4174.113,0.0002425793870985664
Nigeria,193495904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,1.0423993264477577e-05
Pakistan,216379648.0,0.0,83.121,830.01,407.396,80.382,110.988,20.729,339.493,3.433,90.259,1.753,4.692,3989.2560000000003,1.8436373461518896e-05
Philippines,106738496.0,5.572,179.974,465.146,37.744,25.577,66.717,0.0,247.428,29.462,66.717,3.197,2.91,3147.4440000000004,2.948743066419074e-05
Poland,38532816.0,7.019,578.879,1133.63,191.803,6.813,74.659,0.0,362.947,20.711,74.659,0.439,39.677,4508.236,0.00011699731470443271
Russia,145452544.0,0.766,976.106,7120.232,4311.006,492.772,1015.511,518.774,1833.12,1.381,496.737,1.448,0.37,18785.223,0.0001291501852315488
Saudi Arabia,34193120.0,0.0,1.34,3181.633,1092.502,0.0,0.0,0.0,2087.792,0.0,0.0,0.173,0.013,8380.453000000001,0.00024509179039526087
South Korea,51511640.0,4.979,1002.235,2997.258,497.564,7.475,448.55,379.047,1497.459,30.68,69.503,20.596,5.773,8978.119,0.00017429301416145945
Spain,46584168.0,19.439,156.41,1197.184,317.121,48.76,404.858,148.404,723.653,19.402,256.454,38.111,130.741,5477.537000000001,0.00011758366061190577
Thailand,70898208.0,21.177,208.857,1354.329,500.838,12.474,78.354,0.0,644.634,29.661,78.354,12.09,2.951,4960.719000000001,6.996959641067374e-05
Turkey,82089824.0,1.269,458.912,1553.371,515.681,154.936,233.97,0.0,578.778,22.428,233.97,7.689,47.647,5825.651000000001,7.096678633395536e-05
United Arab Emirates,9068297.0,0.0,24.76,1213.462,656.552,0.0,0.0,0.0,532.15,0.0,0.0,1.983,0.0,4445.907,0.0004902692313672567
United Kingdom,66064808.0,10.827,114.227,1778.548,782.288,15.653,470.528,179.622,882.034,101.826,290.906,30.491,132.11,6806.0599999999995,0.00010302096087223926
United States,329791232.0,410.054,3852.593,21315.105,7399.922,789.888,4508.74,2163.843,10062.591,253.612,2344.897,207.734,683.609,56009.58799999999,0.00016983346603950946
Vietnam,94033048.0,0.0,329.915,733.304,95.207,228.711,230.328,0.0,308.182,0.664,230.328,0.021,0.931,4174.590999999999,4.4394934427734376e-05
