Country,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Australia,-20.515,-0.616,100.199,2.387,154.49,3.68,1.449,0.149,729.714,3.549,18.523,22687.059,540.411,6809.335,162.2,-0.105,-3.747,149272.328,3555.703,63.861,33.749,253.99,253.99,16.505,2.222,34.812,67223.109,1.405,1.878,27.664,9159.857,218.19,62999.273,1500.658,85.905,93.717,3.799,14.272,389.95,2086.881,49.71,16370.515,13.824,90.233,31190.988,742.977,19.572,24.353,185.34,-2.744,-1.304,37.935,591.514,14.09,1592.542,5.547,2.369,6.761,7.149,100.613,1502.923,35.8,4223.832,14.095,6.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.892,-5.131,570.297,263.641,6.28,23941.701,-9.683,-20.951,8203.984,195.421,2.473,35.615,11.741,3.678,0.0,3.714,0.42,154.409,0.0,492.895,1.448,0.0,0.733,10662.781,1601.271,6.761,7.149,100.613,1502.923,35.8,4223.832,14.095,6.283,25.112,3.269,16.684,260.283,6.2,700.429,2.441,1.042,21.029,5.379,31.866,496.636,11.83,1337.768,4.658,1.99
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.831,227.589,21.282,194.089,30.633,6.336,1.0,-28.617,-1.66,26.23,4.14,1.687,7.956,62.67,59.29,15.494,20.915,66.598,2439.447,0.697,20.75,65.62,370.589,58.49,2419.427,381.858,98.651,99.179,12.3,28.318,258.541,302.984,47.82,1638.096,12.3,28.318,1638.096,258.541,80.654,67.15,40.07,58.556,0.884,2.419,3.738,0.59,15.325,0.995,0.628,45.716,0.979,3.16,5.069,0.8,20.021,1.349,0.821,3.38,5.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.896,16.02,92.684,61.268,9.67,587.242,0.0,0.0,16.267,2.567,16.31,24.073,0.011,0.0,0.0,103.198,0.006,0.0,0.0,0.072,0.0,0.0,0.003,375.657,385.018,45.716,0.979,3.16,5.069,0.8,20.021,1.349,0.821,14.867,0.089,0.716,1.267,0.2,4.537,0.337,0.186,0.0,0.0,0.014,0.063,0.01,0.087,0.017,0.004
Brazil,16.967,32.141,1079.843,221.571,243.094,49.88,8.582,6.3,188.638,0.594,1.211,998.99,204.981,131.489,26.98,-19.19,-8.026,164.729,33.8,4.642,5.828,615.64,581.22,21.224,-1.332,-47.461,17140.15,1.164,-3.225,-69.01,658.81,135.18,10092.728,2070.909,23.258,58.884,5.611,22.811,429.365,387.4,79.49,2092.544,1.957,4.568,1160.13,238.045,13.676,12.208,109.64,-3.668,-42.906,968.777,1753.22,359.74,4721.409,61.894,27.546,4.715,21.548,1446.048,2173.809,446.04,7047.424,76.742,41.116,34.42,5.591,-4.19,-1.903,38.075,71.788,14.73,185.564,2.534,1.083,-6.082,-93.032,1436.562,139.92,28.71,7001.193,7.953,113.255,7492.649,1537.403,4.94,40.847,159.228,49.88,0.0,5.95,8.942,243.095,0.0,776.01,8.582,0.0,4.527,2832.619,3516.957,4.935,23.451,1407.973,2102.021,431.31,6861.86,74.208,40.034,266.361,0.115,0.159,0.292,0.06,0.773,0.01,0.005,77.111,25.159,58.237,105.415,21.63,283.824,3.721,1.656
Canada,-6.095,-1.35,582.253,20.805,279.58,9.99,1.511,0.518,184.365,-5.795,-13.189,6000.494,214.41,1817.972,64.96,-9.877,-41.54,10607.186,379.017,9.826,5.335,601.55,661.08,21.056,0.289,11.566,112484.586,2.563,-0.191,-4.957,3860.393,137.94,72643.711,2595.714,20.866,64.581,0.447,4.909,1103.324,1902.49,67.98,30877.666,1.11,17.641,44989.121,1607.557,10.283,27.451,121.88,-0.081,-6.998,1029.236,10695.979,382.19,28804.221,57.813,25.607,1.497,16.524,1423.599,14640.609,523.14,39840.879,79.134,35.419,-59.53,-9.896,-5.1,-15.69,261.261,2829.387,101.1,7311.664,15.293,6.5,0.261,3.323,1277.979,139.93,5.0,35765.547,3.002,73.239,70327.359,2512.946,0.756,31.796,31.881,9.987,0.0,1.959,0.613,279.501,0.0,892.226,1.511,0.0,0.793,18501.002,4019.313,3.134,32.214,1162.338,11811.223,422.04,32529.217,63.841,28.919,36.541,2.052,7.796,80.88,2.89,218.18,0.437,0.194,110.394,37.897,72.62,754.783,26.97,2032.338,4.08,1.807
China,-26.129,-9.656,19.587,27.299,38.796,54.07,0.93,0.078,667.715,-2.086,-475.662,16021.233,22329.041,2903.154,4046.17,-1.876,-406.805,15264.204,21273.957,69.587,63.55,5802.14,5814.58,17.903,1.172,406.922,25210.303,1.92,0.178,54.982,3049.073,4249.54,22160.787,30885.832,73.084,87.904,3.359,63.264,1946.895,119.759,166.91,1396.91,3.421,44.88,973.433,1356.689,2.871,5.541,3882.48,5.174,130.551,3001.359,799.675,1114.52,2153.495,19.168,8.542,9.108,351.94,4250.154,1122.927,1565.04,3049.513,26.916,12.096,-12.44,-0.214,28.645,96.552,442.87,122.966,171.38,317.762,2.947,1.26,7.609,467.379,6609.896,26.16,36.46,4742.644,1.481,36.414,1790.418,2495.333,0.627,18.812,172.514,54.07,0.0,16.863,24.89,38.796,0.0,123.78,0.93,0.0,0.491,4172.0,35135.988,7.146,255.388,3807.284,999.96,1393.66,2731.751,23.968,10.836,67.916,42.623,106.32,28.327,39.48,76.285,0.679,0.303,16.167,66.98,499.793,133.162,185.59,358.604,3.192,1.422
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.257,105.992,4.795,95.363,9.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,181.14,181.83,19.147,1.47,14.137,9988.438,0.904,1.306,12.044,1700.917,166.22,9557.997,934.044,91.415,95.691,-0.433,-2.0,460.188,1328.336,129.81,4709.065,-9.306,-43.704,4358.266,425.906,71.391,47.145,107.69,0.71,0.041,36.849,139.986,13.68,377.076,7.524,3.775,5.865,2.092,42.064,159.736,15.61,430.441,8.585,4.309,-0.69,-0.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.031,9.249,464.537,372.581,36.41,4753.569,0.828,3.382,4216.604,412.063,20.024,47.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860.652,976.108,5.865,2.092,42.064,159.736,15.61,430.441,8.585,4.309,-69.903,-0.265,0.113,0.409,0.04,1.157,0.022,0.012,84.271,2.317,5.102,19.34,1.89,52.208,1.039,0.523
France,0.873,0.283,513.211,32.748,102.335,6.53,1.137,1.16,59.118,-4.597,-4.928,1602.887,102.28,186.335,11.89,0.0,0.0,0.0,0.0,2.071,3.624,510.05,574.11,29.077,0.909,25.429,44229.48,1.145,2.67,36.736,702.714,44.84,22135.375,1412.453,7.81,50.047,7.501,28.434,407.518,331.297,21.14,6386.446,25.719,0.051,3.878,0.247,3.682,14.439,33.94,-13.166,-23.289,146.92,870.713,55.56,2302.475,9.678,5.206,-0.188,-11.307,1409.82,8294.498,529.27,22094.104,92.19,49.953,-64.06,-12.56,0.217,-4.302,1130.386,6855.22,437.43,17714.934,76.193,40.052,1.487,13.23,902.656,185.081,11.81,14146.043,5.508,0.557,167.114,10.664,2.057,31.983,22.711,7.11,0.58,8.084,1.699,111.425,9.09,355.913,1.238,0.101,0.805,8997.212,2822.273,-1.605,-7.005,279.434,1439.278,91.84,4379.171,15.997,9.901,22.824,3.539,19.559,121.455,7.75,306.528,1.35,0.693,23.768,10.763,57.495,335.685,21.42,901.044,3.731,2.037
Germany,-6.254,-2.053,375.009,30.778,613.233,50.33,7.874,0.814,503.591,-1.171,-10.839,11149.26,915.056,3316.55,272.2,-2.994,-15.367,6066.648,497.909,42.586,24.202,590.89,639.17,19.417,1.897,70.395,46066.906,1.042,0.606,17.971,4377.066,359.24,36322.855,2981.134,56.204,78.848,4.139,30.586,769.536,748.965,61.47,9376.213,-6.907,-5.583,916.795,75.244,9.617,20.353,321.88,-3.114,-1.959,51.105,231.257,18.98,622.67,2.969,1.352,6.449,52.424,799.726,3410.734,279.93,9744.049,43.796,21.152,-48.28,-8.171,-5.501,-15.309,237.191,1118.391,91.79,2889.992,14.361,6.273,-0.137,-1.776,1296.542,311.551,25.57,15797.383,-0.051,-0.016,371.548,30.494,4.001,34.292,160.996,50.46,0.13,4.285,6.596,614.817,1.584,1961.616,7.895,0.02,4.258,7787.801,3780.86,12.408,67.734,562.535,2292.343,188.14,6854.057,29.435,14.878,7.414,6.506,102.538,463.976,38.08,1249.343,5.958,2.712,37.826,58.644,217.118,982.294,80.62,2645.42,12.613,5.743
India,20.01,0.599,2.715,3.592,23.147,30.62,2.316,0.045,745.783,2.031,89.397,3394.5,4490.47,760.885,1006.55,4.288,134.379,2470.471,3268.103,76.133,56.629,1322.19,1322.1,17.605,3.467,265.676,5994.315,1.073,3.608,252.994,816.847,1080.58,5491.542,7264.577,81.732,91.612,-1.432,-6.947,478.068,48.962,64.77,361.388,-4.13,-12.124,212.741,281.428,4.899,6.029,986.0,-4.111,-17.628,358.926,100.751,133.28,271.325,10.081,4.526,2.249,12.682,665.102,182.573,241.52,502.774,18.268,8.388,0.09,0.007,10.442,8.823,98.993,28.96,38.31,74.832,2.898,1.248,8.024,170.544,2296.038,7.0,9.26,1735.654,-1.126,-5.455,361.972,478.841,0.7,28.955,97.737,30.617,0.0,24.077,18.966,23.145,0.0,73.883,2.316,0.0,1.233,999.42,7929.679,0.863,3.86,566.109,153.613,203.21,427.941,15.37,7.139,33.762,4.384,17.683,4.966,6.57,13.367,0.497,0.223,-2.133,-2.461,88.172,24.749,32.74,66.652,2.476,1.112
Indonesia,-50.407,-8.504,32.291,8.366,37.631,9.75,4.008,0.448,696.276,13.474,63.204,2054.382,532.274,481.142,124.66,0.329,9.273,10922.573,2829.951,51.241,28.523,243.29,243.28,13.257,1.441,26.5,7202.464,0.695,2.189,38.41,809.442,209.72,6921.25,1793.24,86.205,96.096,3.438,14.639,440.371,208.961,54.14,1699.67,-0.311,-2.374,2939.582,761.622,22.254,23.598,169.39,-9.371,-4.071,37.003,53.031,13.74,142.817,5.648,1.983,-22.85,-11.91,72.86,129.529,33.56,281.214,13.795,3.904,0.01,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.585,-39.433,820.596,119.34,30.92,3167.198,-0.934,-4.447,1821.522,471.942,12.71,43.974,27.467,19.81,10.06,2.499,0.658,76.459,38.828,106.012,8.143,4.135,1.472,938.972,1866.101,-22.85,-11.91,72.86,129.529,33.56,281.214,13.795,3.904,-22.467,-0.004,0.014,0.039,0.01,0.055,0.004,0.001,0.0,0.01,0.01,0.0,0.0,0.038,0.0,0.001
